state,district,date,poverty_absolute,poverty_relative
Sarawak,Lawas,2022-01-01,18.1,33.7
Sarawak,Limbang,2019-01-01,11.0,16.2
Sarawak,Limbang,2022-01-01,14.6,20.5
Sarawak,Lubok Antu,2019-01-01,7.9,32.1
Sarawak,Lubok Antu,2022-01-01,14.8,32.7
Sarawak,Lundu,2019-01-01,10.2,25.0
Sarawak,Lundu,2022-01-01,13.1,23.2
Sarawak,Maradong,2019-01-01,12.7,32.4
Sarawak,Maradong,2022-01-01,19.5,36.4
Sarawak,Marudi,2019-01-01,16.9,26.1
Sarawak,Marudi,2022-01-01,12.9,20.6
Sarawak,Matu,2019-01-01,24.1,35.3
Sarawak,Matu,2022-01-01,20.8,30.8
Sarawak,Miri,2019-01-01,4.7,6.0
Sarawak,Miri,2022-01-01,6.3,6.0
Sarawak,Mukah,2019-01-01,10.4,16.8
Sarawak,Mukah,2022-01-01,14.0,21.4
Sarawak,Pakan,2019-01-01,21.7,38.1
Sarawak,Pakan,2022-01-01,17.6,29.4
Sarawak,Pusa,2019-01-01,23.0,44.0
Sarawak,Pusa,2022-01-01,17.2,28.0
Sarawak,Samarahan,2019-01-01,4.7,6.5
Sarawak,Samarahan,2022-01-01,7.9,6.7
Sarawak,Saratok,2019-01-01,13.8,28.6
Sarawak,Saratok,2022-01-01,7.4,12.6
Sarawak,Sarikei,2019-01-01,9.1,25.4
Sarawak,Sarikei,2022-01-01,20.9,30.0
Sarawak,Sebauh,2019-01-01,7.4,14.5
Sarawak,Sebauh,2022-01-01,4.8,16.9
Sarawak,Selangau,2019-01-01,14.3,38.2
Sarawak,Selangau,2022-01-01,19.6,38.0
Sarawak,Serian,2019-01-01,16.8,20.0
Sarawak,Serian,2022-01-01,14.6,22.7
Sarawak,Sibu,2019-01-01,7.3,11.0
Sarawak,Sibu,2022-01-01,10.2,14.8
Sarawak,Simunjan,2019-01-01,21.1,35.6
Sarawak,Simunjan,2022-01-01,17.9,33.8
Sarawak,Song,2019-01-01,6.0,40.0
Sarawak,Song,2022-01-01,15.8,41.2
Sarawak,Sri Aman,2019-01-01,7.4,20.7
Sarawak,Sri Aman,2022-01-01,8.9,28.4
Sarawak,Subis,2019-01-01,7.5,10.0
Sarawak,Subis,2022-01-01,4.7,14.0
Sarawak,Tanjung Manis,2019-01-01,3.4,25.0
Sarawak,Tanjung Manis,2022-01-01,20.7,33.7
Sarawak,Tatau,2019-01-01,5.0,8.7
Sarawak,Tatau,2022-01-01,5.9,14.1
Sarawak,Tebedu,2019-01-01,38.6,40.3
Sarawak,Tebedu,2022-01-01,26.9,44.1
Sarawak,Telang Usan,2019-01-01,13.6,23.7
Sarawak,Telang Usan,2022-01-01,6.0,20.5
Selangor,Gombak,2019-01-01,0.4,14.5
Selangor,Gombak,2022-01-01,2.4,13.8
Selangor,Klang,2019-01-01,1.7,16.6
Selangor,Klang,2022-01-01,2.2,20.3
Selangor,Kuala Langat,2019-01-01,2.4,19.7
Selangor,Kuala Langat,2022-01-01,0.3,9.4
Selangor,Kuala Selangor,2019-01-01,3.5,30.4
Selangor,Kuala Selangor,2022-01-01,2.8,25.2
Selangor,Petaling,2019-01-01,1.1,14.4
Selangor,Petaling,2022-01-01,1.6,14.9
Selangor,Sabak Bernam,2019-01-01,4.7,46.2
Selangor,Sabak Bernam,2022-01-01,5.3,42.6
Selangor,Sepang,2019-01-01,0.7,7.9
Selangor,Sepang,2022-01-01,0.0,3.4
Selangor,Ulu Langat,2019-01-01,0.6,10.5
Selangor,Ulu Langat,2022-01-01,0.5,7.0
Selangor,Ulu Selangor,2019-01-01,1.5,26.6
Selangor,Ulu Selangor,2022-01-01,1.7,23.9
Terengganu,Besut,2019-01-01,10.1,9.5
Terengganu,Besut,2022-01-01,12.7,11.3
Terengganu,Dungun,2019-01-01,5.1,6.1
Terengganu,Dungun,2022-01-01,2.2,2.4
Terengganu,Hulu Terengganu,2019-01-01,7.9,19.7
Terengganu,Hulu Terengganu,2022-01-01,10.8,16.2
Terengganu,Kemaman,2019-01-01,4.6,5.6
Terengganu,Kemaman,2022-01-01,4.1,5.8
Terengganu,Kuala Nerus,2019-01-01,5.4,7.9
Terengganu,Kuala Nerus,2022-01-01,1.9,3.5
Terengganu,Kuala Terengganu,2019-01-01,4.4,4.8
Terengganu,Kuala Terengganu,2022-01-01,5.9,5.0
Terengganu,Marang,2019-01-01,8.2,12.0
Terengganu,Marang,2022-01-01,9.0,11.8
Terengganu,Setiu,2019-01-01,6.5,11.1
Terengganu,Setiu,2022-01-01,7.5,6.0
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2019-01-01,0.2,10.6
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022-01-01,1.4,12.7
W.P. Labuan,W.P. Labuan,2019-01-01,3.1,12.9
W.P. Labuan,W.P. Labuan,2022-01-01,2.5,7.0
W.P. Putrajaya,W.P. Putrajaya,2019-01-01,0.4,12.1
W.P. Putrajaya,W.P. Putrajaya,2022-01-01,0.1,11.4
