state,district,date,poverty_absolute,poverty_relative,year
Pahang,Temerloh,2019-01-01,6.1,10.2,2019
Pahang,Temerloh,2022-01-01,6.6,8.7,2022
Perak,Bagan Datuk,2019-01-01,6.4,11.0,2019
Perak,Bagan Datuk,2022-01-01,12.4,19.8,2022
Perak,Batang Padang,2019-01-01,7.1,12.6,2019
Perak,Batang Padang,2022-01-01,13.3,18.1,2022
Perak,Hilir Perak,2019-01-01,12.0,16.5,2019
Perak,Hilir Perak,2022-01-01,14.8,22.3,2022
Perak,Hulu Perak,2019-01-01,12.9,19.2,2019
Perak,Hulu Perak,2022-01-01,16.3,18.5,2022
Perak,Kampar,2019-01-01,7.0,16.7,2019
Perak,Kampar,2022-01-01,4.7,10.3,2022
Perak,Kerian,2019-01-01,6.0,8.3,2019
Perak,Kerian,2022-01-01,8.7,18.9,2022
Perak,Kinta,2019-01-01,4.9,9.9,2019
Perak,Kinta,2022-01-01,3.8,9.4,2022
Perak,Kuala Kangsar,2019-01-01,10.6,14.4,2019
Perak,Kuala Kangsar,2022-01-01,13.0,17.2,2022
Perak,Larut dan Matang,2019-01-01,7.9,8.3,2019
Perak,Larut dan Matang,2022-01-01,9.2,14.4,2022
Perak,Manjung,2019-01-01,6.9,8.8,2019
Perak,Manjung,2022-01-01,3.8,11.1,2022
Perak,Muallim,2019-01-01,11.6,14.2,2019
Perak,Muallim,2022-01-01,9.2,14.8,2022
Perak,Perak Tengah,2019-01-01,10.0,14.2,2019
Perak,Perak Tengah,2022-01-01,11.1,17.3,2022
Perak,Selama,2022-01-01,5.3,18.9,2022
Perlis,Perlis,2019-01-01,3.9,12.0,2019
Perlis,Perlis,2022-01-01,4.0,12.6,2022
Pulau Pinang,Barat Daya,2019-01-01,1.0,10.8,2019
Pulau Pinang,Barat Daya,2022-01-01,1.4,9.0,2022
Pulau Pinang,Seberang Perai Selatan,2019-01-01,2.1,15.3,2019
Pulau Pinang,Seberang Perai Selatan,2022-01-01,3.1,18.2,2022
Pulau Pinang,Seberang Perai Tengah,2019-01-01,2.3,16.9,2019
Pulau Pinang,Seberang Perai Tengah,2022-01-01,2.4,16.6,2022
Pulau Pinang,Seberang Perai Utara,2019-01-01,4.6,18.1,2019
Pulau Pinang,Seberang Perai Utara,2022-01-01,3.7,18.7,2022
Pulau Pinang,Timur Laut,2019-01-01,0.5,8.6,2019
Pulau Pinang,Timur Laut,2022-01-01,0.7,14.5,2022
Sabah,Beaufort,2019-01-01,21.0,19.1,2019
Sabah,Beaufort,2022-01-01,19.8,13.8,2022
Sabah,Beluran,2019-01-01,45.0,33.3,2019
Sabah,Beluran,2022-01-01,37.7,29.1,2022
Sabah,Kalabakan,2022-01-01,33.3,21.8,2022
Sabah,Keningau,2019-01-01,17.1,10.9,2019
Sabah,Keningau,2022-01-01,18.8,10.3,2022
Sabah,Kinabatangan,2019-01-01,32.1,19.1,2019
Sabah,Kinabatangan,2022-01-01,28.9,18.2,2022
Sabah,Kota Belud,2019-01-01,34.0,31.1,2019
Sabah,Kota Belud,2022-01-01,27.8,29.8,2022
Sabah,Kota Kinabalu,2019-01-01,7.5,5.1,2019
Sabah,Kota Kinabalu,2022-01-01,10.3,8.0,2022
Sabah,Kota Marudu,2019-01-01,46.1,42.3,2019
Sabah,Kota Marudu,2022-01-01,49.9,38.4,2022
Sabah,Kuala Penyu,2019-01-01,29.7,20.0,2019
Sabah,Kuala Penyu,2022-01-01,17.6,20.6,2022
Sabah,Kudat,2019-01-01,41.5,36.5,2019
Sabah,Kudat,2022-01-01,34.7,32.5,2022
Sabah,Kunak,2019-01-01,26.0,13.5,2019
Sabah,Kunak,2022-01-01,25.4,13.9,2022
Sabah,Lahad Datu,2019-01-01,19.3,9.0,2019
Sabah,Lahad Datu,2022-01-01,23.5,14.6,2022
Sabah,Nabawan,2019-01-01,35.6,12.7,2019
Sabah,Nabawan,2022-01-01,27.1,10.4,2022
Sabah,Papar,2019-01-01,12.7,10.8,2019
Sabah,Papar,2022-01-01,16.2,10.5,2022
Sabah,Penampang,2019-01-01,4.4,4.0,2019
Sabah,Penampang,2022-01-01,6.7,5.6,2022
Sabah,Pitas,2019-01-01,53.6,56.6,2019
Sabah,Pitas,2022-01-01,52.7,46.7,2022
Sabah,Putatan,2019-01-01,10.9,8.8,2019
Sabah,Putatan,2022-01-01,12.9,7.9,2022
Sabah,Ranau,2019-01-01,26.8,21.3,2019
Sabah,Ranau,2022-01-01,25.4,21.1,2022
Sabah,Sandakan,2019-01-01,18.2,11.5,2019
Sabah,Sandakan,2022-01-01,17.7,10.0,2022
Sabah,Semporna,2019-01-01,31.5,18.0,2019
Sabah,Semporna,2022-01-01,28.0,16.9,2022
Sabah,Sipitang,2019-01-01,10.5,6.2,2019
Sabah,Sipitang,2022-01-01,22.1,15.1,2022
Sabah,Tambunan,2019-01-01,16.7,19.1,2019
Sabah,Tambunan,2022-01-01,9.0,13.5,2022
Sabah,Tawau,2019-01-01,14.2,9.0,2019
Sabah,Tawau,2022-01-01,14.4,12.5,2022
Sabah,Telupid,2019-01-01,40.7,35.5,2019
Sabah,Telupid,2022-01-01,20.8,16.7,2022
Sabah,Tenom,2019-01-01,17.2,11.3,2019
Sabah,Tenom,2022-01-01,15.8,12.4,2022
Sabah,Tongod,2019-01-01,56.6,49.1,2019
Sabah,Tongod,2022-01-01,50.8,23.7,2022
Sabah,Tuaran,2019-01-01,16.7,16.5,2019
Sabah,Tuaran,2022-01-01,25.8,19.2,2022
Sarawak,Asajaya,2019-01-01,20.0,28.4,2019
Sarawak,Asajaya,2022-01-01,17.9,19.9,2022
Sarawak,Bau,2019-01-01,9.6,13.0,2019
Sarawak,Bau,2022-01-01,8.3,18.7,2022
Sarawak,Belaga,2019-01-01,6.9,21.4,2019
Sarawak,Belaga,2022-01-01,19.5,28.1,2022
Sarawak,Beluru,2019-01-01,12.0,22.2,2019
Sarawak,Beluru,2022-01-01,13.7,18.9,2022
Sarawak,Betong,2019-01-01,22.4,31.3,2019
Sarawak,Betong,2022-01-01,9.8,21.3,2022
Sarawak,Bintulu,2019-01-01,2.1,2.6,2019
Sarawak,Bintulu,2022-01-01,3.5,1.9,2022
Sarawak,Bukit Mabong,2019-01-01,28.7,21.6,2019
Sarawak,Bukit Mabong,2022-01-01,8.2,39.2,2022
Sarawak,Dalat,2019-01-01,11.9,20.5,2019
Sarawak,Dalat,2022-01-01,11.1,19.0,2022
Sarawak,Daro,2019-01-01,18.5,25.8,2019
Sarawak,Daro,2022-01-01,32.5,34.5,2022
Sarawak,Julau,2019-01-01,13.0,43.2,2019
Sarawak,Julau,2022-01-01,31.2,46.8,2022
Sarawak,Kabong,2019-01-01,16.1,32.7,2019
Sarawak,Kabong,2022-01-01,8.6,26.9,2022
Sarawak,Kanowit,2019-01-01,21.9,41.8,2019
Sarawak,Kanowit,2022-01-01,24.9,45.7,2022
Sarawak,Kapit,2019-01-01,3.8,18.2,2019
Sarawak,Kapit,2022-01-01,20.6,37.9,2022
Sarawak,Kuching,2019-01-01,5.6,7.4,2019
Sarawak,Kuching,2022-01-01,9.1,10.1,2022
Sarawak,Lawas,2019-01-01,14.4,16.1,2019
Sarawak,Lawas,2022-01-01,18.1,33.7,2022
Sarawak,Limbang,2019-01-01,11.0,16.2,2019
Sarawak,Limbang,2022-01-01,14.6,20.5,2022
Sarawak,Lubok Antu,2019-01-01,7.9,32.1,2019
Sarawak,Lubok Antu,2022-01-01,14.8,32.7,2022
Sarawak,Lundu,2019-01-01,10.2,25.0,2019
Sarawak,Lundu,2022-01-01,13.1,23.2,2022
Sarawak,Maradong,2019-01-01,12.7,32.4,2019
Sarawak,Maradong,2022-01-01,19.5,36.4,2022
Sarawak,Marudi,2019-01-01,16.9,26.1,2019
Sarawak,Marudi,2022-01-01,12.9,20.6,2022
Sarawak,Matu,2019-01-01,24.1,35.3,2019
Sarawak,Matu,2022-01-01,20.8,30.8,2022
Sarawak,Miri,2019-01-01,4.7,6.0,2019
Sarawak,Miri,2022-01-01,6.3,6.0,2022
Sarawak,Mukah,2019-01-01,10.4,16.8,2019
Sarawak,Mukah,2022-01-01,14.0,21.4,2022
Sarawak,Pakan,2019-01-01,21.7,38.1,2019
Sarawak,Pakan,2022-01-01,17.6,29.4,2022
Sarawak,Pusa,2019-01-01,23.0,44.0,2019
Sarawak,Pusa,2022-01-01,17.2,28.0,2022
Sarawak,Samarahan,2019-01-01,4.7,6.5,2019
Sarawak,Samarahan,2022-01-01,7.9,6.7,2022
Sarawak,Saratok,2019-01-01,13.8,28.6,2019
Sarawak,Saratok,2022-01-01,7.4,12.6,2022
Sarawak,Sarikei,2019-01-01,9.1,25.4,2019
Sarawak,Sarikei,2022-01-01,20.9,30.0,2022
Sarawak,Sebauh,2019-01-01,7.4,14.5,2019
Sarawak,Sebauh,2022-01-01,4.8,16.9,2022
Sarawak,Selangau,2019-01-01,14.3,38.2,2019
Sarawak,Selangau,2022-01-01,19.6,38.0,2022
Sarawak,Serian,2019-01-01,16.8,20.0,2019
Sarawak,Serian,2022-01-01,14.6,22.7,2022
Sarawak,Sibu,2019-01-01,7.3,11.0,2019
Sarawak,Sibu,2022-01-01,10.2,14.8,2022
Sarawak,Simunjan,2019-01-01,21.1,35.6,2019
Sarawak,Simunjan,2022-01-01,17.9,33.8,2022
Sarawak,Song,2019-01-01,6.0,40.0,2019
Sarawak,Song,2022-01-01,15.8,41.2,2022
Sarawak,Sri Aman,2019-01-01,7.4,20.7,2019
Sarawak,Sri Aman,2022-01-01,8.9,28.4,2022
Sarawak,Subis,2019-01-01,7.5,10.0,2019
Sarawak,Subis,2022-01-01,4.7,14.0,2022
Sarawak,Tanjung Manis,2019-01-01,3.4,25.0,2019
Sarawak,Tanjung Manis,2022-01-01,20.7,33.7,2022
Sarawak,Tatau,2019-01-01,5.0,8.7,2019
Sarawak,Tatau,2022-01-01,5.9,14.1,2022
Sarawak,Tebedu,2019-01-01,38.6,40.3,2019
Sarawak,Tebedu,2022-01-01,26.9,44.1,2022
Sarawak,Telang Usan,2019-01-01,13.6,23.7,2019
Sarawak,Telang Usan,2022-01-01,6.0,20.5,2022
Selangor,Gombak,2019-01-01,0.4,14.5,2019
Selangor,Gombak,2022-01-01,2.4,13.8,2022
Selangor,Klang,2019-01-01,1.7,16.6,2019
Selangor,Klang,2022-01-01,2.2,20.3,2022
Selangor,Kuala Langat,2019-01-01,2.4,19.7,2019
Selangor,Kuala Langat,2022-01-01,0.3,9.4,2022
Selangor,Kuala Selangor,2019-01-01,3.5,30.4,2019
Selangor,Kuala Selangor,2022-01-01,2.8,25.2,2022
Selangor,Petaling,2019-01-01,1.1,14.4,2019
Selangor,Petaling,2022-01-01,1.6,14.9,2022
Selangor,Sabak Bernam,2019-01-01,4.7,46.2,2019
Selangor,Sabak Bernam,2022-01-01,5.3,42.6,2022
Selangor,Sepang,2019-01-01,0.7,7.9,2019
Selangor,Sepang,2022-01-01,0.0,3.4,2022
Selangor,Ulu Langat,2019-01-01,0.6,10.5,2019
Selangor,Ulu Langat,2022-01-01,0.5,7.0,2022
Selangor,Ulu Selangor,2019-01-01,1.5,26.6,2019
Selangor,Ulu Selangor,2022-01-01,1.7,23.9,2022
Terengganu,Besut,2019-01-01,10.1,9.5,2019
Terengganu,Besut,2022-01-01,12.7,11.3,2022
Terengganu,Dungun,2019-01-01,5.1,6.1,2019
Terengganu,Dungun,2022-01-01,2.2,2.4,2022
Terengganu,Hulu Terengganu,2019-01-01,7.9,19.7,2019
Terengganu,Hulu Terengganu,2022-01-01,10.8,16.2,2022
Terengganu,Kemaman,2019-01-01,4.6,5.6,2019
Terengganu,Kemaman,2022-01-01,4.1,5.8,2022
Terengganu,Kuala Nerus,2019-01-01,5.4,7.9,2019
Terengganu,Kuala Nerus,2022-01-01,1.9,3.5,2022
Terengganu,Kuala Terengganu,2019-01-01,4.4,4.8,2019
Terengganu,Kuala Terengganu,2022-01-01,5.9,5.0,2022
Terengganu,Marang,2019-01-01,8.2,12.0,2019
Terengganu,Marang,2022-01-01,9.0,11.8,2022
Terengganu,Setiu,2019-01-01,6.5,11.1,2019
Terengganu,Setiu,2022-01-01,7.5,6.0,2022
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2019-01-01,0.2,10.6,2019
W.P. Kuala Lumpur,W.P. Kuala Lumpur,2022-01-01,1.4,12.7,2022
W.P. Labuan,W.P. Labuan,2019-01-01,3.1,12.9,2019
W.P. Labuan,W.P. Labuan,2022-01-01,2.5,7.0,2022
W.P. Putrajaya,W.P. Putrajaya,2019-01-01,0.4,12.1,2019
W.P. Putrajaya,W.P. Putrajaya,2022-01-01,0.1,11.4,2022
