state,district,poverty_abs_2019,poverty_abs_2022,poverty_rel_2019,poverty_rel_2022,poverty_abs_change,poverty_rel_change
Sabah,Beaufort,21.0,19.8,19.1,13.8,-1.1999999999999993,-5.300000000000001
Sabah,Beluran,45.0,37.7,33.3,29.1,-7.299999999999997,-4.199999999999996
Sabah,Kalabakan,,33.3,,21.8,,
Sabah,Keningau,17.1,18.8,10.9,10.3,1.6999999999999993,-0.5999999999999996
Sabah,Kinabatangan,32.1,28.9,19.1,18.2,-3.200000000000003,-0.9000000000000021
Sabah,Kota Belud,34.0,27.8,31.1,29.8,-6.199999999999999,-1.3000000000000007
Sabah,Kota Kinabalu,7.5,10.3,5.1,8.0,2.8000000000000007,2.9000000000000004
Sabah,Kota Marudu,46.1,49.9,42.3,38.4,3.799999999999997,-3.8999999999999986
Sabah,Kuala Penyu,29.7,17.6,20.0,20.6,-12.099999999999998,0.6000000000000014
Sabah,Kudat,41.5,34.7,36.5,32.5,-6.799999999999997,-4.0
Sabah,Kunak,26.0,25.4,13.5,13.9,-0.6000000000000014,0.40000000000000036
Sabah,Lahad Datu,19.3,23.5,9.0,14.6,4.199999999999999,5.6
Sabah,Nabawan,35.6,27.1,12.7,10.4,-8.5,-2.299999999999999
Sabah,Papar,12.7,16.2,10.8,10.5,3.5,-0.3000000000000007
Sabah,Penampang,4.4,6.7,4.0,5.6,2.3,1.5999999999999996
Sabah,Pitas,53.6,52.7,56.6,46.7,-0.8999999999999986,-9.899999999999999
Sabah,Putatan,10.9,12.9,8.8,7.9,2.0,-0.9000000000000004
Sabah,Ranau,26.8,25.4,21.3,21.1,-1.4000000000000021,-0.1999999999999993
Sabah,Sandakan,18.2,17.7,11.5,10.0,-0.5,-1.5
Sabah,Semporna,31.5,28.0,18.0,16.9,-3.5,-1.1000000000000014
Sabah,Sipitang,10.5,22.1,6.2,15.1,11.600000000000001,8.899999999999999
Sabah,Tambunan,16.7,9.0,19.1,13.5,-7.699999999999999,-5.600000000000001
Sabah,Tawau,14.2,14.4,9.0,12.5,0.20000000000000107,3.5
Sabah,Telupid,40.7,20.8,35.5,16.7,-19.900000000000002,-18.8
Sabah,Tenom,17.2,15.8,11.3,12.4,-1.3999999999999986,1.0999999999999996
Sabah,Tongod,56.6,50.8,49.1,23.7,-5.800000000000004,-25.400000000000002
Sabah,Tuaran,16.7,25.8,16.5,19.2,9.100000000000001,2.6999999999999993
Sarawak,Asajaya,20.0,17.9,28.4,19.9,-2.1000000000000014,-8.5
Sarawak,Bau,9.6,8.3,13.0,18.7,-1.299999999999999,5.699999999999999
Sarawak,Belaga,6.9,19.5,21.4,28.1,12.6,6.700000000000003
Sarawak,Beluru,12.0,13.7,22.2,18.9,1.6999999999999993,-3.3000000000000007
Sarawak,Betong,22.4,9.8,31.3,21.3,-12.599999999999998,-10.0
Sarawak,Bintulu,2.1,3.5,2.6,1.9,1.4,-0.7000000000000002
Sarawak,Bukit Mabong,28.7,8.2,21.6,39.2,-20.5,17.6
Sarawak,Dalat,11.9,11.1,20.5,19.0,-0.8000000000000007,-1.5
Sarawak,Daro,18.5,32.5,25.8,34.5,14.0,8.7
Sarawak,Julau,13.0,31.2,43.2,46.8,18.2,3.5999999999999943
Sarawak,Kabong,16.1,8.6,32.7,26.9,-7.500000000000002,-5.800000000000004
Sarawak,Kanowit,21.9,24.9,41.8,45.7,3.0,3.9000000000000057
Sarawak,Kapit,3.8,20.6,18.2,37.9,16.8,19.7
Sarawak,Kuching,5.6,9.1,7.4,10.1,3.5,2.6999999999999993
Sarawak,Lawas,14.4,18.1,16.1,33.7,3.700000000000001,17.6
Sarawak,Limbang,11.0,14.6,16.2,20.5,3.5999999999999996,4.300000000000001
Sarawak,Lubok Antu,7.9,14.8,32.1,32.7,6.9,0.6000000000000014
Sarawak,Lundu,10.2,13.1,25.0,23.2,2.9000000000000004,-1.8000000000000007
Sarawak,Maradong,12.7,19.5,32.4,36.4,6.800000000000001,4.0
Sarawak,Marudi,16.9,12.9,26.1,20.6,-3.9999999999999982,-5.5
Sarawak,Matu,24.1,20.8,35.3,30.8,-3.3000000000000007,-4.4999999999999964
Sarawak,Miri,4.7,6.3,6.0,6.0,1.5999999999999996,0.0
Sarawak,Mukah,10.4,14.0,16.8,21.4,3.5999999999999996,4.599999999999998
Sarawak,Pakan,21.7,17.6,38.1,29.4,-4.099999999999998,-8.700000000000003
Sarawak,Pusa,23.0,17.2,44.0,28.0,-5.800000000000001,-16.0
Sarawak,Samarahan,4.7,7.9,6.5,6.7,3.2,0.20000000000000018
Sarawak,Saratok,13.8,7.4,28.6,12.6,-6.4,-16.0
Sarawak,Sarikei,9.1,20.9,25.4,30.0,11.799999999999999,4.600000000000001
Sarawak,Sebauh,7.4,4.8,14.5,16.9,-2.6000000000000005,2.3999999999999986
