date,division,inflation_yoy,inflation_mom,year,month,division_label
1986-11-01,01,0.5,-0.5,1986,11,Food & Non-Alcoholic Beverages
1986-12-01,01,0.5,0.7,1986,12,Food & Non-Alcoholic Beverages
1987-01-01,01,-1.0,-0.5,1987,1,Food & Non-Alcoholic Beverages
1987-02-01,01,-1.4,-0.2,1987,2,Food & Non-Alcoholic Beverages
1987-03-01,01,-2.4,-1.0,1987,3,Food & Non-Alcoholic Beverages
1987-04-01,01,-1.2,0.2,1987,4,Food & Non-Alcoholic Beverages
1987-05-01,01,-1.9,0.2,1987,5,Food & Non-Alcoholic Beverages
1987-06-01,01,-0.5,0.5,1987,6,Food & Non-Alcoholic Beverages
1987-07-01,01,0.0,-0.5,1987,7,Food & Non-Alcoholic Beverages
1987-08-01,01,0.7,0.2,1987,8,Food & Non-Alcoholic Beverages
1987-09-01,01,0.0,0.0,1987,9,Food & Non-Alcoholic Beverages
1987-10-01,01,-0.2,0.5,1987,10,Food & Non-Alcoholic Beverages
1987-11-01,01,0.5,0.2,1987,11,Food & Non-Alcoholic Beverages
1987-12-01,01,1.4,1.7,1987,12,Food & Non-Alcoholic Beverages
1988-01-01,01,2.2,0.2,1988,1,Food & Non-Alcoholic Beverages
1988-02-01,01,2.7,0.2,1988,2,Food & Non-Alcoholic Beverages
1988-03-01,01,3.7,0.0,1988,3,Food & Non-Alcoholic Beverages
1988-04-01,01,2.5,-0.9,1988,4,Food & Non-Alcoholic Beverages
1988-05-01,01,2.4,0.2,1988,5,Food & Non-Alcoholic Beverages
1988-06-01,01,2.9,1.0,1988,6,Food & Non-Alcoholic Beverages
1988-07-01,01,4.9,1.4,1988,7,Food & Non-Alcoholic Beverages
1988-08-01,01,4.1,-0.5,1988,8,Food & Non-Alcoholic Beverages
1988-09-01,01,5.1,0.9,1988,9,Food & Non-Alcoholic Beverages
1988-10-01,01,4.4,-0.2,1988,10,Food & Non-Alcoholic Beverages
1988-11-01,01,5.1,0.9,1988,11,Food & Non-Alcoholic Beverages
1988-12-01,01,5.5,2.1,1988,12,Food & Non-Alcoholic Beverages
1989-01-01,01,4.5,-0.7,1989,1,Food & Non-Alcoholic Beverages
1989-02-01,01,4.0,-0.2,1989,2,Food & Non-Alcoholic Beverages
1989-03-01,01,4.0,0.0,1989,3,Food & Non-Alcoholic Beverages
1989-04-01,01,5.0,0.0,1989,4,Food & Non-Alcoholic Beverages
1989-05-01,01,5.3,0.5,1989,5,Food & Non-Alcoholic Beverages
1989-06-01,01,4.3,0.0,1989,6,Food & Non-Alcoholic Beverages
1989-07-01,01,2.6,-0.2,1989,7,Food & Non-Alcoholic Beverages
1989-08-01,01,3.3,0.2,1989,8,Food & Non-Alcoholic Beverages
1989-09-01,01,3.0,0.7,1989,9,Food & Non-Alcoholic Beverages
1989-10-01,01,3.3,0.0,1989,10,Food & Non-Alcoholic Beverages
1989-11-01,01,3.7,1.4,1989,11,Food & Non-Alcoholic Beverages
1989-12-01,01,2.0,0.4,1989,12,Food & Non-Alcoholic Beverages
1990-01-01,01,3.2,0.4,1990,1,Food & Non-Alcoholic Beverages
1990-02-01,01,4.3,0.9,1990,2,Food & Non-Alcoholic Beverages
1990-03-01,01,3.9,-0.4,1990,3,Food & Non-Alcoholic Beverages
1990-04-01,01,5.0,1.1,1990,4,Food & Non-Alcoholic Beverages
1990-05-01,01,5.2,0.7,1990,5,Food & Non-Alcoholic Beverages
1990-06-01,01,5.0,-0.2,1990,6,Food & Non-Alcoholic Beverages
1990-07-01,01,4.1,-1.1,1990,7,Food & Non-Alcoholic Beverages
1990-08-01,01,3.4,-0.4,1990,8,Food & Non-Alcoholic Beverages
1990-09-01,01,3.6,0.9,1990,9,Food & Non-Alcoholic Beverages
1990-10-01,01,3.8,0.2,1990,10,Food & Non-Alcoholic Beverages
1990-11-01,01,4.0,1.5,1990,11,Food & Non-Alcoholic Beverages
1990-12-01,01,4.4,0.9,1990,12,Food & Non-Alcoholic Beverages
1991-01-01,01,4.0,0.0,1991,1,Food & Non-Alcoholic Beverages
1991-02-01,01,3.1,0.0,1991,2,Food & Non-Alcoholic Beverages
1991-03-01,01,3.9,0.4,1991,3,Food & Non-Alcoholic Beverages
1991-04-01,01,4.3,1.5,1991,4,Food & Non-Alcoholic Beverages
1991-05-01,01,4.3,0.6,1991,5,Food & Non-Alcoholic Beverages
1991-06-01,01,6.5,1.9,1991,6,Food & Non-Alcoholic Beverages
1991-07-01,01,5.9,-1.6,1991,7,Food & Non-Alcoholic Beverages
1991-08-01,01,6.6,0.2,1991,8,Food & Non-Alcoholic Beverages
1991-09-01,01,4.6,-1.0,1991,9,Food & Non-Alcoholic Beverages
1991-10-01,01,5.2,0.8,1991,10,Food & Non-Alcoholic Beverages
1991-11-01,01,4.5,0.8,1991,11,Food & Non-Alcoholic Beverages
1991-12-01,01,5.5,1.8,1991,12,Food & Non-Alcoholic Beverages
