date,ron95,ron97,diesel,avg_fuel
2025-05-01,2.05,3.1100000000000003,2.804,2.654666666666667
2025-06-01,2.05,3.1225,2.7925,2.655
2025-07-01,2.05,3.19,2.8920000000000003,2.710666666666667
2025-08-01,2.05,3.1475,2.8925,2.6966666666666668
2025-09-01,2.1599999999999997,3.194,2.914,2.756
2025-10-01,2.6,3.1750000000000003,2.9250000000000003,2.9000000000000004
2025-11-01,2.6325,3.2475,3.0675,2.9825
2025-12-01,2.62,3.24,3.025,2.9616666666666664
2026-01-01,2.54,3.1100000000000003,2.8939999999999997,2.8480000000000003
2026-02-01,2.5525,3.1125,2.995,2.8866666666666667
2026-03-01,3.27,4.2,4.32,3.93
2026-04-01,4.0,5.029999999999999,5.79,4.94
2026-05-01,3.9699999999999998,4.775,4.97,4.571666666666666
