date,division,inflation_yoy,inflation_mom,year,month,division_label
1990-09-01,overall,2.5,0.5,1990,9,Overall CPI
1990-10-01,overall,3.2,0.7,1990,10,Overall CPI
1990-11-01,overall,3.4,0.5,1990,11,Overall CPI
1990-12-01,overall,3.8,0.5,1990,12,Overall CPI
1991-01-01,overall,3.6,0.5,1991,1,Overall CPI
1991-02-01,overall,3.4,0.3,1991,2,Overall CPI
1991-03-01,overall,3.7,0.2,1991,3,Overall CPI
1991-04-01,overall,4.2,0.9,1991,4,Overall CPI
1991-05-01,overall,4.0,0.3,1991,5,Overall CPI
1991-06-01,overall,5.1,0.8,1991,6,Overall CPI
1991-07-01,overall,5.0,-0.5,1991,7,Overall CPI
1991-08-01,overall,5.3,0.3,1991,8,Overall CPI
1991-09-01,overall,4.6,-0.2,1991,9,Overall CPI
1991-10-01,overall,4.2,0.3,1991,10,Overall CPI
1991-11-01,overall,4.2,0.5,1991,11,Overall CPI
1991-12-01,overall,4.5,0.8,1991,12,Overall CPI
1992-01-01,overall,4.3,0.3,1992,1,Overall CPI
1992-02-01,overall,4.5,0.5,1992,2,Overall CPI
1992-03-01,overall,4.6,0.3,1992,3,Overall CPI
1992-04-01,overall,4.4,0.7,1992,4,Overall CPI
1992-05-01,overall,5.1,1.0,1992,5,Overall CPI
1992-06-01,overall,4.4,0.2,1992,6,Overall CPI
1992-07-01,overall,5.1,0.2,1992,7,Overall CPI
1992-08-01,overall,5.0,0.3,1992,8,Overall CPI
1992-09-01,overall,5.2,0.0,1992,9,Overall CPI
1992-10-01,overall,4.7,-0.2,1992,10,Overall CPI
1992-11-01,overall,5.3,1.1,1992,11,Overall CPI
1992-12-01,overall,4.6,0.2,1992,12,Overall CPI
1993-01-01,overall,4.5,0.2,1993,1,Overall CPI
1993-02-01,overall,4.3,0.3,1993,2,Overall CPI
1993-03-01,overall,4.1,0.2,1993,3,Overall CPI
1993-04-01,overall,3.9,0.5,1993,4,Overall CPI
1993-05-01,overall,3.1,0.2,1993,5,Overall CPI
1993-06-01,overall,3.2,0.3,1993,6,Overall CPI
1993-07-01,overall,3.7,0.6,1993,7,Overall CPI
1993-08-01,overall,2.9,-0.5,1993,8,Overall CPI
1993-09-01,overall,3.0,0.2,1993,9,Overall CPI
1993-10-01,overall,3.5,0.3,1993,10,Overall CPI
1993-11-01,overall,3.0,0.6,1993,11,Overall CPI
1993-12-01,overall,3.5,0.6,1993,12,Overall CPI
1994-01-01,overall,3.8,0.5,1994,1,Overall CPI
1994-02-01,overall,4.4,0.9,1994,2,Overall CPI
1994-03-01,overall,3.9,-0.3,1994,3,Overall CPI
1994-04-01,overall,3.4,0.0,1994,4,Overall CPI
1994-05-01,overall,3.4,0.2,1994,5,Overall CPI
1994-06-01,overall,3.0,-0.2,1994,6,Overall CPI
1994-07-01,overall,3.1,0.8,1994,7,Overall CPI
1994-08-01,overall,3.7,0.2,1994,8,Overall CPI
1994-09-01,overall,4.0,0.4,1994,9,Overall CPI
1994-10-01,overall,3.9,0.1,1994,10,Overall CPI
1994-11-01,overall,3.8,0.6,1994,11,Overall CPI
1994-12-01,overall,3.5,0.3,1994,12,Overall CPI
1995-01-01,overall,3.5,0.4,1995,1,Overall CPI
1995-02-01,overall,3.2,0.6,1995,2,Overall CPI
1995-03-01,overall,3.3,-0.1,1995,3,Overall CPI
1995-04-01,overall,3.3,0.0,1995,4,Overall CPI
1995-05-01,overall,3.9,0.7,1995,5,Overall CPI
1995-06-01,overall,4.1,0.0,1995,6,Overall CPI
1995-07-01,overall,3.5,0.1,1995,7,Overall CPI
1995-08-01,overall,3.4,0.1,1995,8,Overall CPI
1995-09-01,overall,3.4,0.4,1995,9,Overall CPI
1995-10-01,overall,3.4,0.1,1995,10,Overall CPI
