date,state,district,income_mean,income_median,expenditure_mean,gini,poverty,year,savings_rate,income_expenditure_ratio
2022-01-01,Pulau Pinang,Seberang Perai Utara,7330,6103,4432,0.34971,3.7,2022,39.53615279672578,1.6538808664259927
2022-01-01,Pulau Pinang,Seberang Perai Selatan,7472,6231,4665,0.35956,3.1,2022,37.566916488222695,1.6017148981779208
2022-01-01,Pulau Pinang,Timur Laut,8727,6714,5890,0.37972,0.7,2022,32.508307551277646,1.4816638370118846
2022-01-01,Pulau Pinang,Barat Daya,9254,7247,6003,0.35685,1.4,2022,35.13075426842446,1.5415625520573046
2022-01-01,Perak,Batang Padang,5178,3953,3710,0.36993,13.3,2022,28.3507145616068,1.3956873315363882
2022-01-01,Perak,Manjung,6318,5135,3912,0.35358,3.8,2022,38.08167141500475,1.6150306748466257
2022-01-01,Perak,Kinta,6308,5037,4383,0.35771,3.8,2022,30.51680405833862,1.4391968971024411
2022-01-01,Perak,Kerian,5276,3996,3615,0.36419,8.7,2022,31.48218347232752,1.4594744121715075
2022-01-01,Perak,Kuala Kangsar,5176,3813,3488,0.39084,13.0,2022,32.61205564142195,1.4839449541284404
2022-01-01,Perak,Larut Dan Matang,5400,4029,3798,0.36465,9.2,2022,29.666666666666668,1.4218009478672986
2022-01-01,Perak,Hilir Perak,5203,4199,3386,0.3904,14.8,2022,34.92216029213915,1.5366213821618429
2022-01-01,Perak,Hulu Perak,4891,3467,2889,0.3989,16.3,2022,40.93232467797996,1.6929733471789548
2022-01-01,Perak,Perak Tengah,5956,4564,3744,0.39074,11.1,2022,37.139019476158495,1.5908119658119657
2022-01-01,Perak,Kampar,5087,4347,3276,0.3056,4.7,2022,35.60055042264596,1.5528083028083028
2022-01-01,Perak,Muallim,6122,5015,4374,0.35908,9.2,2022,28.552760535772627,1.3996342021033379
2022-01-01,Perak,Bagan Datuk,5160,4076,3150,0.36109,12.4,2022,38.95348837209303,1.638095238095238
2022-01-01,Perak,Selama,4439,3673,3150,0.29903,5.3,2022,29.038071637756254,1.4092063492063491
2022-01-01,Perlis,Perlis,5664,4713,3834,0.33589,4.0,2022,32.309322033898304,1.4773082942097027
2022-01-01,Selangor,Gombak,13523,10180,6673,0.39247,2.4,2022,50.65444058271093,2.0265248014386334
2022-01-01,Selangor,Klang,10278,8203,6622,0.34658,2.2,2022,35.571122786534346,1.5520990637269707
2022-01-01,Selangor,Kuala Langat,11048,10093,5621,0.27733,0.3,2022,49.12201303403331,1.9654865682262943
2022-01-01,Selangor,Kuala Selangor,9410,7644,5543,0.34646,2.8,2022,41.094580233793835,1.6976366588489988
2022-01-01,Selangor,Petaling,12760,9618,7721,0.39198,1.6,2022,39.490595611285265,1.6526356689547985
2022-01-01,Selangor,Sabak Bernam,6930,5533,5128,0.32091,5.3,2022,26.002886002886004,1.3514040561622465
2022-01-01,Selangor,Sepang,13673,12608,6976,0.22915,0.0,2022,48.979741095589844,1.9600057339449541
2022-01-01,Selangor,Ulu Langat,13386,11210,6289,0.32633,0.5,2022,53.018078589571196,2.1284782954364765
2022-01-01,Selangor,Ulu Selangor,8779,7678,4604,0.29704,1.7,2022,47.55666932452443,1.9068201563857514
2022-01-01,Terengganu,Besut,6285,4743,4191,0.33019,12.7,2022,33.31742243436754,1.4996420901932712
2022-01-01,Terengganu,Dungun,7902,6356,5215,0.30756,2.2,2022,34.004049607694256,1.5152444870565676
2022-01-01,Terengganu,Kemaman,8381,6425,4978,0.37757,4.1,2022,40.60374656962176,1.6836078746484533
2022-01-01,Terengganu,Kuala Terengganu,7109,5872,4881,0.29973,5.9,2022,31.34055422703615,1.4564638393771767
2022-01-01,Terengganu,Marang,6357,5291,4675,0.32464,9.0,2022,26.459021551046092,1.3597860962566846
2022-01-01,Terengganu,Hulu Terengganu,5821,5090,4332,0.2934,10.8,2022,25.579797285689743,1.3437211449676825
2022-01-01,Terengganu,Setiu,6030,5211,4017,0.27489,7.5,2022,33.38308457711443,1.5011202389843166
2022-01-01,Terengganu,Kuala Nerus,7983,6800,5224,0.27252,1.9,2022,34.56094200175372,1.5281393568147015
2022-01-01,Sabah,Tawau,6315,4783,3118,0.3881,14.4,2022,50.62549485352336,2.0253367543296985
2022-01-01,Sabah,Lahad Datu,5995,4457,3346,0.38801,23.5,2022,44.18682235195996,1.7916915720263
2022-01-01,Sabah,Semporna,5098,4093,2466,0.34139,28.0,2022,51.6280894468419,2.067315490673155
